,date,favorites,id,isRetweet,retweets,text
182,2020-12-23 21:47:13,233517,1341862953637822464,False,63205,Our embassy in Baghdad got hit Sunday by several rockets. Three rockets failed to launch. Guess where they were from: IRAN. Now we hear chatter of additional attacks against Americans in Iraq... 
183,2020-12-23 17:08:35,291241,1341792832093364224,False,73872,They are slow walking the signature verification in Georgia. They don’t want results to get out prior to January 6th. They know what they are trying so hard to hide. Terrible people! @BrianKempGA
184,2020-12-23 02:04:52,270968,1341565405509394432,False,86918,"Statement by Donald J. Trump, The President of the United States

Full Video:  "
185,2020-12-23 01:18:00,144776,1341553610996543488,False,40061,"“@NewtGingrich Pens Op-Ed on Election Saying he will not Accept Joe Biden as President” @OANN  Newt Gingrich gets it, we are going to WIN!  "
187,2020-12-23 00:54:43,224296,1341547750710800384,False,49649,"Republicans in the Senate so quickly forget. Right now they would be down 8 seats without my backing them in the last Election. RINO John Thune, “Mitch’s boy”, should just let it play out. South Dakota doesn’t like weakness. He will be primaried in 2022, political career over!!!"
189,2020-12-22 15:29:24,399989,1341405487057821696,False,91865,THE DEMOCRATS DUMPED HUNDREDS OF THOUSANDS OF BALLOTS IN THE SWING STATES LATE IN THE EVENING. IT WAS A RIGGED ELECTION!!!
190,2020-12-22 14:26:16,217524,1341389598296059904,False,36352,"Distribution of both vaccines is going very smoothly. Amazing how many people are being vaccinated, record numbers. Our Country, and indeed the World, will soon see the great miracle of what the Trump Administration has accomplished. They said it couldn’t be done!!!"
191,2020-12-21 23:51:21,177220,1341169419259531264,False,52081,"“Conservatives Call on State Legislators to Appoint New Electors, in Accordance with the Constitution”
"
192,2020-12-21 21:48:08,163161,1341138409092509696,False,34920,...Republicans in Wisconsin should take these 3 strong decisions to their State Legislators and overturn this ridiculous State Election. We won in a LANDSLIDE!
193,2020-12-21 21:48:08,138631,1341138408274595840,False,27864,"...WOW, he just voted against me in a Big Court Decision on voter fraud (of which there was much!), despite many pages of dissent from three highly respected Justices. One thing has nothing to do with another, but we ended up losing 4-3 in a really incorrect ruling! Great..."
194,2020-12-21 21:48:08,179509,1341138407460925440,False,36406,"Two years ago, the great people of Wisconsin asked me to endorse a man named Brian Hagedorn for State Supreme Court Justice, when he was getting destroyed in the Polls against a tough Democrat Candidate who had no chance of losing. After my endorsement, Hagedorn easily won!..."
195,2020-12-21 15:30:09,115740,1341043285368909824,False,25626,"....@sendavidperdue will not be able to win on January 5th. unless these people allow Signature Verification in presidential race. K &amp; D need it for their race also, &amp; Georgia spirit will rise to such a high that they will easily bring home a great victory. Move fast @BrianKempGA"
196,2020-12-21 15:30:09,175442,1341043284542713856,False,43884,"Governor @BrianKempGA and his puppet @GeoffDuncanGA, together with the Secretary of State of Georgia, are very slow on Signature Verification, and won’t allow Fulton County to be examined. What are these RINOS hiding? We will easily win Presidential State race. @KLoeffler and...."
197,2020-12-21 12:24:59,391184,1340996686257254400,False,91306,Big news coming out of Pennsylvania. Very big illegal ballot drop that cannot be accounted for. Rigged Election!
198,2020-12-21 11:51:32,146156,1340988270243700736,False,25159,“The President was responsible for those direct payments to Americans in the Covid-19 Relief Bill.” @kilmeade @foxandfriends And the Moderna vaccine has already started rolling out. Very smooth distribution!
200,2020-12-20 17:51:12,134933,1340716395286413312,False,40197,Wow! 
201,2020-12-20 16:52:28,257733,1340701616010375168,False,44098,Cute! 
202,2020-12-20 16:30:59,119885,1340696207560220672,False,22074,David is a great guy and patriot. Thank you Lauren! 
203,2020-12-20 05:26:49,425394,1340529063799246848,False,86154,GREATEST ELECTION FRAUD IN THE HISTORY OF OUR COUNTRY!!!
204,2020-12-20 05:18:50,249400,1340527057151930368,False,49138,"Why isn’t Congress giving our people a Stimulus Bill? It wasn’t their fault, it was the fault of China. GET IT DONE, and give them more money in direct payments."
205,2020-12-20 05:06:28,242167,1340523944680583168,False,45118,Martial law = Fake News. Just more knowingly bad reporting!
206,2020-12-20 05:04:09,156111,1340523358551732224,False,29114,"What would Bolton, one of the dumbest people in Washington, know? Wasn’t he the person who so stupidly said, on television, “Libyan solution”, when describing what the U.S. was going to do for North Korea? I’ve got plenty of other Bolton “stupid stories”."
207,2020-12-20 04:53:24,155710,1340520653653458944,False,33955,"As badly as we were treated in Georgia by the “Republican” Governor and “Republican” Secretary of State, we must have a massive victory for two great people, @KLoeffler &amp; @sendavidperdue, on January 5th. I will be having a big Rally for them on Monday night, January 4th. WIN!"
210,2020-12-20 01:18:25,153928,1340466552420896768,False,31798,Watch @RealPNavarro NOW on the Election Fraud. @JesseBWatters  @FoxNews
214,2020-12-19 19:59:20,294812,1340386251866828800,False,62329,The lie of the year is that Joe Biden won! Christina Bobb @OANN
